Event_ID,User_ID,Event_Date,Event_Type,Platform,Session_Duration_Sec
47,1080,2025-09-27,Withdrawal,iOS,169
48,1052,2026-03-05,Login,iOS,471
49,1063,2025-09-11,Login,Web,287
50,1084,2025-09-04,View_Statement,iOS,305
51,1438,2026-04-05,Withdrawal,Web,343
52,1394,2026-02-02,View_Portfolio,Web,366
53,1343,2026-02-16,Deposit,Android,257
54,1367,2026-04-29,Withdrawal,iOS,317
55,1478,2026-04-18,Deposit,Web,471
56,1255,2025-10-31,Withdrawal,iOS,165
57,1059,2026-04-14,Withdrawal,iOS,437
58,1008,2026-04-25,Login,Web,313
59,1307,2025-11-20,Deposit,iOS,31
60,1389,2026-03-26,Deposit,Android,238
61,1076,2026-02-05,Login,iOS,293
62,1426,2025-09-04,Deposit,iOS,76
63,1078,2025-08-04,View_Portfolio,Android,503
64,1124,2026-03-14,View_Statement,Web,559
65,1012,2025-09-29,View_Portfolio,iOS,15
66,1280,2026-04-03,Login,iOS,557
67,1045,2025-11-14,Login,iOS,477
68,1053,2025-12-23,Login,iOS,316
69,1181,2025-12-16,Withdrawal,iOS,86
70,1401,2025-12-21,View_Portfolio,iOS,565
71,1449,2025-11-25,View_Portfolio,Android,54
72,1374,2026-03-30,View_Portfolio,iOS,380
73,1234,2026-05-02,Login,Android,466
74,1186,2026-02-21,Login,iOS,119
75,1293,2025-12-21,View_Statement,Web,357
76,1075,2026-01-11,View_Portfolio,iOS,400
77,1426,2025-11-10,Deposit,iOS,220
78,1198,2025-10-06,Deposit,Android,360
79,1079,2026-01-21,Deposit,iOS,236
80,1233,2025-08-27,Deposit,Android,358
81,1168,2025-11-30,Login,iOS,56
82,1023,2026-04-25,Deposit,Android,501
83,1407,2026-04-23,Deposit,iOS,426
84,1486,2026-04-11,Login,Android,543
85,1230,2026-02-01,View_Statement,iOS,588
86,1305,2025-10-18,Login,iOS,113
87,1384,2026-02-18,Deposit,Android,534
88,1460,2026-04-09,Deposit,iOS,497
89,1135,2026-04-16,Deposit,Android,497
90,1293,2025-10-12,Login,Android,321
91,1400,2026-03-29,Deposit,Android,86
92,1038,2026-01-14,Login,iOS,21
93,1232,2026-01-18,Login,iOS,14
94,1355,2025-12-07,Login,Android,448
95,1168,2025-10-14,Login,Web,508
96,1285,2026-04-06,View_Statement,Android,262
97,1103,2026-04-08,Withdrawal,Android,536
98,1145,2026-02-12,Login,Android,587
99,1243,2026-02-16,View_Statement,Android,303
100,1474,2026-04-09,Login,Web,234
101,1148,2025-12-01,Login,iOS,107
102,1366,2026-03-20,Login,iOS,64
103,1153,2025-10-02,Withdrawal,Web,312
104,1316,2026-04-09,Deposit,iOS,279
105,1422,2026-02-10,Login,Android,499
106,1319,2025-07-19,Login,Android,172
107,1295,2026-04-07,Deposit,Android,168
108,1126,2026-03-23,Withdrawal,Android,427
109,1192,2025-08-29,View_Portfolio,iOS,272
110,1485,2026-03-21,Deposit,Android,392
111,1083,2025-09-24,Withdrawal,Android,224
112,1021,2025-08-26,Withdrawal,Web,535
113,1288,2025-09-16,Deposit,iOS,126
114,1284,2026-05-01,Login,iOS,401
115,1359,2026-02-17,Login,iOS,433
116,1489,2026-05-04,Deposit,Android,541
117,1268,2026-01-22,View_Portfolio,iOS,90
118,1121,2025-11-10,Login,iOS,196
119,1111,2026-04-09,Deposit,iOS,143
120,1079,2026-02-19,Login,Android,176
121,1348,2026-03-25,Login,iOS,146
122,1376,2025-09-03,Login,iOS,171
123,1085,2026-04-16,Login,Android,596
124,1080,2025-09-04,Deposit,iOS,224
125,1151,2026-02-01,Login,iOS,324
126,1244,2026-02-25,Deposit,Android,126
127,1218,2026-04-17,Login,Android,534
128,1015,2025-09-05,Deposit,Android,327
129,1101,2025-08-04,Login,iOS,80
130,1268,2026-03-26,Login,iOS,250
131,1388,2025-10-22,Deposit,Android,372
132,1035,2025-11-08,Withdrawal,iOS,31
133,1351,2026-02-20,View_Portfolio,Android,47
134,1445,2025-09-28,Login,Web,247
135,1283,2026-03-25,Deposit,iOS,552
136,1125,2026-04-15,Login,iOS,60
137,1224,2026-01-26,Withdrawal,Android,396
138,1161,2026-01-30,Login,iOS,29
139,1013,2025-09-12,Withdrawal,Web,144
140,1165,2025-11-23,Deposit,iOS,410
141,1428,2026-03-16,View_Portfolio,iOS,483
142,1258,2025-08-15,View_Statement,Web,507
143,1422,2026-01-07,View_Statement,iOS,126
144,1293,2026-03-17,Deposit,Web,534
145,1443,2026-05-01,View_Portfolio,iOS,497
146,1114,2026-05-02,Login,Web,526
147,1120,2026-04-15,Login,iOS,74
148,1069,2026-02-05,Deposit,iOS,174
149,1274,2026-02-11,View_Statement,iOS,357
150,1048,2026-02-25,Withdrawal,iOS,268
151,1337,2026-02-13,Login,iOS,254
152,1322,2025-09-13,Withdrawal,iOS,231
153,1433,2026-04-09,Login,Android,599
154,1362,2025-07-15,Deposit,Android,26
155,1058,2025-10-25,Login,Android,337
156,1419,2026-04-05,Login,Android,589
157,1078,2025-08-27,Login,iOS,440
158,1499,2026-03-14,Withdrawal,iOS,514
159,1204,2026-04-08,Deposit,iOS,392
160,1442,2026-04-16,Login,iOS,521
161,1225,2025-09-08,Deposit,Android,341
162,1263,2025-10-24,View_Portfolio,Android,588
163,1103,2026-01-31,View_Statement,Android,233
164,1109,2026-03-24,View_Portfolio,Web,148
165,1265,2026-04-11,Login,Android,282
166,1325,2025-08-12,Login,Web,134
167,1388,2026-02-12,Login,iOS,288
168,1416,2025-12-30,Deposit,Web,42
169,1389,2025-12-19,Deposit,iOS,223
170,1056,2026-01-01,Login,iOS,310
171,1312,2026-04-11,View_Statement,Android,87
172,1252,2026-01-05,View_Portfolio,iOS,314
173,1500,2026-01-30,Deposit,iOS,115
174,1300,2026-05-01,Deposit,iOS,541
175,1072,2026-03-06,Deposit,Android,120
176,1141,2026-02-25,Deposit,Web,190
177,1388,2026-02-22,View_Portfolio,iOS,374
178,1180,2025-07-02,Login,Web,174
179,1203,2026-04-22,Withdrawal,Android,493
180,1271,2026-03-29,Login,iOS,314
181,1376,2026-04-07,Deposit,Android,461
182,1110,2026-04-27,Deposit,Web,39
183,1082,2026-01-29,Login,Android,573
184,1084,2025-11-24,Login,iOS,94
185,1257,2026-04-01,Login,iOS,179
186,1193,2026-04-06,Login,Android,360
187,1139,2026-04-29,Deposit,Android,537
188,1221,2026-02-20,View_Statement,iOS,80
189,1189,2025-12-18,Login,iOS,252
190,1349,2026-04-11,Login,Android,126
191,1344,2026-01-19,Deposit,iOS,563
192,1340,2025-11-14,Login,Android,118
193,1478,2026-03-03,Login,Android,509
194,1447,2026-03-04,Deposit,iOS,298
195,1422,2026-03-26,View_Portfolio,iOS,38
196,1197,2026-01-22,View_Portfolio,Web,123
197,1301,2025-11-10,Login,Android,356
198,1074,2026-01-12,Login,Android,203
199,1198,2026-02-10,Deposit,Android,529
200,1324,2026-05-03,Login,iOS,564
201,1260,2026-02-14,Withdrawal,Android,122
202,1199,2026-03-25,Deposit,Android,440
203,1304,2026-05-01,Login,iOS,349
204,1353,2025-10-15,Login,iOS,49
205,1137,2026-04-10,View_Statement,iOS,14
206,1346,2026-01-07,Deposit,iOS,449
207,1499,2025-10-22,View_Portfolio,Web,497
208,1500,2025-12-13,Deposit,iOS,322
209,1175,2026-03-24,Withdrawal,iOS,375
210,1489,2026-05-03,Login,Android,266
211,1469,2026-04-27,Withdrawal,Android,197
212,1316,2025-11-09,View_Portfolio,Android,82
213,1308,2026-04-26,Login,Android,240
214,1380,2026-01-27,Login,iOS,43
215,1342,2026-02-17,Deposit,Web,81
216,1417,2026-02-12,Deposit,iOS,493
217,1442,2026-04-13,Deposit,iOS,577
218,1353,2025-10-10,Withdrawal,iOS,597
219,1304,2025-11-01,Withdrawal,Android,365
220,1133,2026-01-28,Deposit,iOS,240
221,1469,2026-04-06,Deposit,iOS,490
222,1027,2026-01-25,Login,iOS,500
223,1425,2025-08-23,Login,iOS,397
224,1257,2026-02-01,Deposit,iOS,186
225,1051,2026-03-09,Withdrawal,iOS,20
226,1144,2026-01-14,View_Portfolio,iOS,227
227,1355,2025-11-19,Withdrawal,iOS,142
228,1356,2026-03-18,Deposit,iOS,581
229,1236,2026-01-18,Login,Android,167
230,1160,2025-09-25,Deposit,iOS,587
231,1477,2025-07-26,Login,iOS,481
232,1359,2026-02-02,Deposit,Android,153
233,1303,2026-04-16,Login,Web,219
234,1407,2026-05-02,Login,Android,341
235,1271,2026-04-01,Deposit,iOS,99
236,1154,2026-01-22,Login,Android,21
237,1037,2026-03-26,Deposit,iOS,35
238,1217,2026-01-02,Deposit,iOS,333
239,1439,2026-02-21,View_Portfolio,iOS,260
240,1130,2026-04-23,Login,Web,251
241,1076,2026-05-01,Login,Android,548
242,1403,2025-12-11,View_Portfolio,iOS,574
243,1288,2026-05-01,Login,Web,94
244,1471,2026-02-26,View_Portfolio,iOS,185
245,1197,2026-01-14,Login,iOS,302
246,1311,2026-03-11,Deposit,Android,54
247,1217,2025-10-11,Login,Android,399
248,1099,2026-01-07,Deposit,iOS,471
249,1312,2026-05-01,View_Portfolio,iOS,399
250,1285,2026-04-20,Deposit,iOS,598
251,1230,2025-12-12,Withdrawal,Android,166
252,1109,2026-04-06,Login,iOS,170
253,1340,2026-02-02,View_Statement,Android,538
254,1495,2026-04-01,Deposit,iOS,232
255,1164,2026-01-06,Login,iOS,133
256,1116,2026-04-07,Login,iOS,159
257,1071,2026-02-21,Login,Web,439
258,1214,2026-02-25,Login,Android,556
259,1338,2026-03-20,View_Statement,Android,536
260,1053,2026-01-16,Login,Android,397
261,1085,2026-01-09,Login,Web,278
262,1342,2026-05-04,Deposit,iOS,550
263,1423,2025-08-23,Deposit,Android,315
264,1076,2026-01-06,Login,Android,25
265,1267,2026-02-27,Login,Android,522
266,1248,2026-02-06,Login,Web,43
267,1332,2026-02-28,Deposit,Android,363
268,1474,2026-04-02,Login,Android,473
269,1286,2026-02-15,View_Statement,iOS,113
270,1079,2026-04-26,Deposit,iOS,298
271,1456,2026-03-23,Deposit,iOS,152
272,1107,2025-08-10,View_Statement,Web,346
273,1437,2026-05-04,Deposit,iOS,385
274,1082,2025-10-08,Deposit,Android,213
275,1202,2025-07-15,Login,iOS,67
276,1392,2025-11-12,Withdrawal,Android,598
277,1230,2026-05-03,Login,iOS,48
278,1227,2025-12-31,Deposit,Android,522
279,1020,2026-03-31,Deposit,Android,570
280,1268,2026-02-11,Deposit,iOS,342
281,1497,2025-12-02,View_Portfolio,Android,353
282,1323,2026-04-11,Deposit,iOS,97
283,1468,2026-03-24,Login,Android,342
284,1178,2026-04-29,Deposit,iOS,365
285,1382,2026-04-12,View_Statement,Android,473
286,1140,2026-02-16,Withdrawal,iOS,591
287,1310,2026-01-22,Login,iOS,395
288,1472,2026-02-15,View_Statement,iOS,374
289,1080,2025-09-28,Login,Android,256
290,1380,2026-05-01,View_Statement,Android,507
291,1182,2026-05-01,Login,iOS,72
292,1074,2025-11-27,View_Statement,Web,249
293,1147,2026-03-14,Login,iOS,90
294,1233,2026-02-16,Withdrawal,iOS,76
295,1142,2025-06-11,Withdrawal,iOS,348
296,1436,2026-01-20,Withdrawal,iOS,107
297,1462,2026-04-29,View_Portfolio,iOS,516
298,1150,2026-04-24,Deposit,iOS,503
299,1132,2026-04-11,Login,iOS,480
300,1239,2025-12-12,Login,Web,276
301,1372,2025-08-09,Deposit,iOS,376
302,1315,2025-12-28,Deposit,iOS,295
303,1162,2025-10-20,Login,iOS,493
304,1320,2026-04-18,Login,iOS,588
305,1250,2026-05-04,Deposit,iOS,281
306,1128,2025-09-04,Withdrawal,Android,169
307,1274,2026-04-26,View_Portfolio,Android,239
308,1482,2026-04-21,Login,iOS,507
309,1082,2025-07-12,View_Statement,iOS,561
310,1232,2026-04-19,View_Statement,Android,215
311,1031,2026-05-03,Login,Android,208
312,1234,2026-04-26,Deposit,iOS,331
313,1084,2025-09-18,Deposit,iOS,369
314,1484,2026-02-11,Deposit,Android,404
315,1042,2025-11-06,Deposit,Android,506
316,1202,2025-08-23,Deposit,Web,467
317,1251,2026-04-15,Login,iOS,496
318,1387,2026-04-26,Login,Android,146
319,1085,2026-05-03,Login,iOS,162
320,1484,2026-02-03,Withdrawal,Android,526
321,1183,2026-04-01,Login,iOS,319
322,1266,2026-02-27,View_Portfolio,iOS,460
323,1071,2025-12-27,Deposit,Android,461
324,1022,2026-03-15,Deposit,Android,277
325,1407,2026-04-22,View_Portfolio,iOS,227
326,1076,2026-01-02,Login,Android,211
327,1487,2026-04-09,Login,iOS,369
328,1269,2026-05-04,View_Statement,Android,122
329,1168,2025-07-03,Deposit,iOS,303
330,1379,2025-08-25,Login,Android,174
331,1397,2026-04-12,Login,Android,517
332,1353,2025-10-18,View_Portfolio,iOS,162
333,1351,2026-01-12,Deposit,iOS,437
334,1240,2026-02-07,Login,iOS,69
335,1051,2026-01-02,View_Portfolio,iOS,76
336,1448,2026-01-23,Deposit,iOS,589
337,1476,2026-03-19,View_Statement,Web,290
338,1083,2025-11-08,Login,Web,17
339,1469,2026-04-06,Deposit,Android,290
340,1352,2026-03-04,Login,iOS,429
341,1090,2025-10-16,Deposit,Web,551
342,1382,2026-04-17,Login,Android,344
343,1013,2026-03-10,Login,iOS,197
344,1157,2026-05-01,Login,iOS,568
345,1199,2026-04-23,Login,Android,462
346,1431,2025-12-19,View_Statement,iOS,51
347,1154,2026-01-29,Login,iOS,187
348,1198,2026-01-03,Deposit,iOS,13
349,1224,2026-03-27,Deposit,iOS,319
350,1484,2026-04-13,Withdrawal,iOS,89
351,1118,2025-07-22,View_Portfolio,iOS,70
352,1151,2026-02-01,View_Portfolio,Web,182
353,1244,2025-12-21,View_Statement,Android,387
354,1075,2025-10-26,View_Portfolio,iOS,396
355,1440,2026-04-11,View_Portfolio,iOS,442
356,1213,2026-05-01,Deposit,Android,524
357,1275,2025-12-09,Withdrawal,iOS,12
358,1354,2026-05-01,Deposit,iOS,486
359,1497,2025-12-03,Login,Android,92
360,1367,2026-03-23,Login,iOS,68
361,1244,2026-01-03,Login,iOS,44
362,1178,2026-04-26,Login,Web,318
363,1108,2026-04-04,Deposit,iOS,409
364,1291,2026-04-22,Login,Android,385
365,1177,2026-03-05,Deposit,iOS,188
366,1479,2026-04-26,View_Statement,Web,163
367,1174,2026-02-18,Deposit,Android,378
368,1093,2026-03-22,Login,Web,77
369,1454,2025-11-24,Login,Android,378
370,1100,2025-12-17,View_Portfolio,iOS,427
371,1181,2026-03-08,View_Statement,Web,252
372,1159,2026-04-25,View_Portfolio,Android,286
373,1096,2025-10-16,Login,Android,452
374,1232,2026-04-03,Login,iOS,98
375,1251,2026-04-12,View_Statement,iOS,268
376,1340,2026-01-12,Login,Android,246
377,1406,2025-06-13,Login,iOS,321
378,1067,2026-04-12,Login,Web,199
379,1392,2026-04-30,View_Statement,iOS,411
380,1237,2025-09-03,Deposit,Android,233
381,1019,2026-01-16,View_Statement,Android,24
382,1287,2026-04-24,Login,iOS,203
383,1288,2026-04-02,View_Portfolio,iOS,39
384,1207,2025-05-25,Login,iOS,469
385,1311,2026-02-12,Login,Android,176
386,1103,2026-03-28,Deposit,iOS,244
387,1159,2026-04-28,Deposit,Web,255
388,1195,2025-08-16,Withdrawal,Android,328
389,1051,2025-09-18,View_Statement,Android,16
390,1378,2026-05-04,Login,Web,95
391,1224,2025-08-06,Login,iOS,337
392,1202,2025-07-31,Deposit,Android,224
393,1092,2026-03-16,View_Portfolio,Android,544
394,1155,2026-02-24,View_Portfolio,iOS,271
395,1176,2026-02-11,Deposit,Web,535
396,1110,2026-05-03,Withdrawal,Android,293
397,1488,2025-12-30,Login,Web,270
398,1299,2026-04-10,Login,Web,65
399,1223,2026-01-20,Deposit,iOS,519
400,1179,2026-02-17,View_Portfolio,Android,420
401,1226,2025-08-24,Deposit,Android,453
402,1453,2026-04-09,Deposit,Web,141
403,1075,2025-12-22,Deposit,iOS,550
404,1071,2025-12-19,Deposit,iOS,272
405,1328,2026-04-11,View_Portfolio,iOS,425
406,1209,2026-03-05,Deposit,iOS,329
407,1492,2026-02-15,Login,iOS,377
408,1434,2025-11-03,View_Portfolio,iOS,564
409,1445,2026-02-15,Deposit,iOS,365
410,1103,2026-02-17,Withdrawal,iOS,486
411,1041,2025-12-07,View_Statement,iOS,49
412,1435,2026-04-27,Login,iOS,332
413,1334,2025-09-23,Deposit,iOS,364
414,1280,2025-12-25,Deposit,iOS,324
415,1030,2025-10-08,Login,Android,456
416,1243,2026-03-02,View_Portfolio,iOS,172
417,1052,2026-03-21,Withdrawal,iOS,323
418,1434,2026-01-01,Withdrawal,iOS,147
419,1057,2026-01-31,View_Portfolio,Web,250
420,1190,2026-03-18,Login,Android,580
421,1079,2026-01-08,Withdrawal,Web,308
422,1373,2025-08-02,View_Portfolio,iOS,242
423,1437,2026-04-24,View_Portfolio,iOS,225
424,1196,2026-05-04,Deposit,Web,368
425,1461,2025-11-28,Deposit,iOS,138
426,1197,2026-04-19,Login,iOS,183
427,1031,2026-04-21,View_Portfolio,Android,136
428,1332,2026-03-18,Deposit,iOS,584
429,1030,2025-08-18,Deposit,Android,439
430,1113,2026-04-11,Login,iOS,455
431,1138,2026-03-09,Deposit,iOS,292
432,1222,2026-04-23,Login,iOS,53
433,1474,2026-03-31,View_Statement,iOS,183
434,1172,2025-05-28,View_Portfolio,Web,582
435,1390,2025-08-15,Login,Android,149
436,1155,2026-03-14,Deposit,iOS,236
437,1276,2025-12-23,Deposit,Android,370
438,1220,2026-04-20,View_Portfolio,Android,281
439,1276,2025-07-01,View_Portfolio,Android,414
440,1012,2025-10-16,View_Statement,iOS,126
441,1493,2025-12-28,Login,Web,201
442,1085,2026-05-04,Login,Web,132
443,1222,2026-03-02,Deposit,iOS,278
444,1049,2025-12-24,View_Portfolio,Web,443
445,1180,2025-08-04,Login,Android,137
446,1010,2026-04-21,Login,Web,529
447,1499,2026-02-25,View_Portfolio,iOS,449
448,1261,2026-03-20,View_Portfolio,Android,193
449,1320,2026-04-19,Login,iOS,145
450,1186,2026-03-25,View_Portfolio,Android,473
451,1229,2026-01-28,Login,Android,224
452,1392,2025-06-12,Login,iOS,363
453,1158,2026-04-30,Login,Android,161
454,1273,2026-01-25,View_Portfolio,Android,30
455,1323,2026-01-05,Withdrawal,Android,518
456,1021,2026-02-28,Login,Web,315
457,1016,2025-12-27,Login,Android,444
458,1480,2026-01-20,Withdrawal,iOS,13
459,1283,2026-05-03,Deposit,Web,82
460,1115,2025-12-29,View_Statement,Android,114
461,1006,2025-11-18,View_Portfolio,iOS,350
462,1298,2025-07-12,Login,iOS,141
463,1400,2026-01-01,Withdrawal,Web,329
464,1429,2026-03-07,Login,Android,34
465,1259,2025-07-27,View_Statement,iOS,433
466,1040,2026-04-18,Login,iOS,528
467,1276,2025-06-13,Login,iOS,526
468,1232,2026-05-02,Deposit,Web,286
469,1007,2025-10-11,Login,iOS,441
470,1315,2025-06-13,Login,iOS,100
471,1395,2026-04-13,Deposit,Android,70
472,1093,2026-01-30,Deposit,iOS,344
473,1308,2026-04-23,Deposit,iOS,214
474,1387,2026-04-02,View_Portfolio,Android,483
475,1021,2025-11-26,Deposit,Web,65
476,1437,2026-04-30,View_Statement,iOS,202
477,1480,2026-03-02,Login,Web,594
478,1414,2025-12-28,Login,iOS,35
479,1487,2026-04-12,Withdrawal,iOS,283
480,1011,2025-07-25,Login,iOS,337
481,1465,2026-04-04,Login,iOS,24
482,1409,2026-02-11,View_Statement,iOS,287
483,1050,2026-02-06,Deposit,iOS,525
484,1473,2026-04-18,Login,iOS,30
485,1265,2026-01-07,View_Portfolio,Android,55
486,1045,2025-11-05,Login,Android,98
487,1285,2026-03-09,Deposit,Android,517
488,1318,2025-10-29,Login,iOS,282
489,1271,2026-04-26,Login,iOS,105
490,1275,2026-03-24,Login,iOS,75
491,1399,2026-04-22,View_Statement,iOS,502
492,1423,2025-11-10,Login,Android,227
493,1035,2026-03-18,Deposit,Android,442
494,1488,2025-09-27,Login,Web,300
495,1141,2026-02-19,Login,iOS,69
496,1144,2026-02-08,Deposit,iOS,271
497,1323,2026-05-02,Deposit,iOS,434
498,1245,2026-02-05,Withdrawal,iOS,210
499,1351,2026-01-28,View_Statement,Android,547
500,1311,2026-04-21,Login,iOS,242
501,1193,2026-04-13,Login,Android,171
502,1035,2026-03-01,View_Portfolio,iOS,595
503,1272,2026-05-02,View_Statement,Web,231
504,1385,2026-04-13,Deposit,iOS,269
505,1178,2026-05-01,Deposit,iOS,368
506,1270,2026-01-29,Login,iOS,235
507,1318,2025-11-08,Deposit,iOS,274
508,1391,2026-03-14,Login,Android,78
509,1151,2026-03-29,View_Statement,Android,18
510,1099,2026-02-17,Login,Android,290
511,1447,2025-12-22,Login,iOS,561
512,1029,2026-03-25,Deposit,Web,204
513,1150,2025-12-24,Login,iOS,316
514,1208,2026-02-25,Deposit,iOS,155
515,1349,2026-04-01,View_Statement,Web,503
516,1262,2026-02-25,Deposit,Web,452
517,1210,2025-09-14,View_Statement,Android,196
518,1413,2025-09-12,Login,iOS,318
519,1089,2026-01-12,Login,iOS,491
520,1237,2025-11-01,View_Statement,Android,417
521,1248,2026-02-14,Login,Android,582
522,1258,2025-09-16,Withdrawal,iOS,251
523,1492,2026-04-28,Deposit,Android,578
524,1192,2026-03-27,Deposit,iOS,342
525,1096,2026-03-30,Withdrawal,Android,413
526,1036,2025-12-30,Withdrawal,Android,592
527,1096,2026-04-03,View_Statement,Web,380
528,1489,2026-05-03,Login,Android,63
529,1404,2026-04-21,Withdrawal,iOS,586
530,1439,2025-07-18,Login,iOS,254
531,1037,2026-03-13,Withdrawal,Android,209
532,1234,2026-04-27,Login,iOS,444
533,1102,2026-04-22,Deposit,Web,382
534,1481,2026-03-04,Login,iOS,394
535,1180,2025-08-03,Login,Web,230
536,1325,2025-11-27,Withdrawal,iOS,573
537,1070,2026-04-22,Login,iOS,257
538,1406,2026-04-09,Withdrawal,iOS,80
539,1469,2026-04-18,Deposit,Android,492
540,1467,2026-01-05,Login,Android,334
541,1107,2025-09-15,Login,iOS,14
542,1271,2026-04-05,View_Portfolio,iOS,594
543,1354,2026-05-01,View_Statement,iOS,504
544,1047,2026-04-28,Login,iOS,249
545,1455,2026-04-28,Login,Web,200
546,1465,2026-04-05,Login,Android,15
547,1108,2026-03-21,View_Portfolio,iOS,328
548,1364,2025-10-11,Withdrawal,iOS,506
549,1069,2026-02-21,Login,iOS,424
550,1308,2026-04-26,Login,Android,23
551,1423,2025-11-06,View_Portfolio,Android,217
552,1002,2026-01-29,Deposit,Android,11
553,1219,2025-12-14,View_Portfolio,Android,411
554,1045,2025-08-23,Login,iOS,539
555,1408,2025-11-27,Withdrawal,Web,44
556,1233,2025-10-23,Deposit,iOS,91
557,1189,2026-03-03,Deposit,Android,492
558,1367,2026-04-09,Deposit,iOS,400
559,1348,2026-01-24,Deposit,iOS,495
560,1122,2026-04-10,Deposit,iOS,578
561,1495,2025-09-24,Login,iOS,469
562,1065,2026-03-13,View_Statement,iOS,537
563,1437,2026-04-30,View_Statement,iOS,413
564,1372,2025-07-25,Deposit,Android,142
565,1149,2026-05-02,Login,Android,326
566,1249,2026-03-24,Login,iOS,244
567,1383,2025-12-27,View_Portfolio,iOS,137
568,1476,2026-03-22,View_Statement,Android,72
569,1067,2026-03-24,Login,Android,437
570,1350,2026-03-22,Withdrawal,Android,353
571,1385,2026-05-04,Deposit,Web,134
572,1059,2026-03-17,Login,iOS,89
573,1115,2026-04-19,Deposit,iOS,176
574,1116,2026-05-01,Withdrawal,Android,389
575,1237,2025-11-02,Login,Android,24
576,1047,2026-04-06,Login,Android,114
577,1109,2026-03-12,Login,Android,570
578,1274,2026-03-26,View_Statement,Android,535
579,1113,2026-04-28,Deposit,iOS,228
580,1033,2026-02-15,Deposit,iOS,403
581,1399,2026-01-03,Withdrawal,iOS,366
582,1280,2026-04-23,View_Statement,iOS,309
583,1292,2026-05-04,Login,iOS,173
584,1316,2025-11-28,Login,Android,452
585,1162,2026-04-02,Login,iOS,374
586,1090,2025-09-08,View_Statement,iOS,74
587,1051,2026-03-18,Deposit,iOS,525
588,1424,2025-09-11,View_Portfolio,Android,133
589,1406,2026-04-20,Login,Android,219
590,1144,2026-03-19,Deposit,Android,86
591,1104,2025-12-05,Login,iOS,542
592,1170,2025-12-13,Deposit,Android,306
593,1016,2025-10-25,Login,Android,19
594,1133,2026-03-28,Deposit,Android,126
595,1499,2026-04-03,View_Portfolio,iOS,492
596,1390,2026-02-26,View_Statement,iOS,206
597,1170,2026-04-02,Login,Web,196
598,1472,2026-04-04,Withdrawal,Android,239
599,1030,2025-10-22,View_Portfolio,Web,289
600,1485,2026-04-17,Login,iOS,241
601,1160,2025-11-08,Deposit,iOS,125
602,1437,2026-05-02,Deposit,iOS,436
603,1147,2026-01-19,Login,iOS,596
604,1307,2026-05-04,Login,Android,109
605,1237,2025-09-04,Login,Android,553
606,1412,2025-12-05,Deposit,iOS,442
607,1175,2026-03-20,Login,iOS,93
608,1072,2026-03-20,Login,iOS,304
609,1384,2025-12-06,Withdrawal,Web,504
610,1363,2026-04-27,Login,iOS,188
611,1127,2025-09-26,Login,iOS,304
612,1385,2026-01-28,Login,iOS,325
613,1196,2025-12-31,View_Statement,Android,547
614,1185,2026-04-25,Login,Web,60
615,1150,2026-01-08,Login,iOS,333
616,1214,2025-12-17,Login,iOS,163
617,1094,2026-04-19,Login,iOS,541
618,1058,2025-07-22,Deposit,iOS,214
619,1219,2025-12-15,View_Statement,iOS,80
620,1219,2026-03-21,Deposit,iOS,161
621,1013,2025-12-06,Deposit,Web,588
622,1423,2025-08-17,Login,Android,204
